title,artist,album,year,track,genre,length,image
4,aphex twin,richard d. james album,1997,1,,216,http://userserve-ak.last.fm/serve/300x300/92306027.png
cornish acid,aphex twin,richard d. james album,1997,2,,134,http://userserve-ak.last.fm/serve/300x300/92306027.png
peek 824545201,aphex twin,richard d. james album,1997,3,,185,http://userserve-ak.last.fm/serve/300x300/92306027.png
fingerbib,aphex twin,richard d. james album,1997,4,,228,http://userserve-ak.last.fm/serve/300x300/92306027.png
last word,archers of loaf,icky mettle,1993,2,,216,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
wrong,archers of loaf,icky mettle,1993,3,,221,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
you and me,archers of loaf,icky mettle,1993,4,,190,http://userserve-ak.last.fm/serve/300x300/42634385.jpg
for ex-lovers only,black tambourine,complete recordings,1999,1,,161,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
black car,black tambourine,complete recordings,1999,2,,209,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
pack you up,black tambourine,complete recordings,1999,3,,147,http://37.media.tumblr.com/tumblr_l065rndh231qbonh0o1_500.jpg
